block,SD,focal_daughters,focal_sons,rival_daughters,rival_sons,copies_of_SD,parent_with_SD,MotherHasSD,FatherHasSD,SD_from_mum,SD_from_dad,mum_genotype,dad_genotype,focal.male.fitness,rival.male.fitness,total,vial
2,SD-5,1,1,15,17,1,Father,0,1,No,Yes,wild_type,SD-5,2,32,34,199
2,SD-5,1,2,21,27,1,Father,0,1,No,Yes,wild_type,SD-5,3,48,51,200
2,SD-5,0,1,31,29,1,Father,0,1,No,Yes,wild_type,SD-5,1,60,61,201
2,SD-5,2,4,15,18,0,Father,0,1,No,No,wild_type,SD-5,6,33,39,202
2,No SD chromosome,13,17,6,4,0,Neither parent,0,0,No,No,wild_type,wild_type,30,10,40,203
2,No SD chromosome,10,17,2,0,0,Neither parent,0,0,No,No,wild_type,wild_type,27,2,29,204
2,No SD chromosome,2,8,0,0,0,Neither parent,0,0,No,No,wild_type,wild_type,10,0,10,205
3,SD-Mad,6,16,6,4,1,Mother,1,0,Yes,No,SD-Mad,wild_type,22,10,32,206
3,SD-Mad,0,4,5,7,0,Mother,1,0,No,No,SD-Mad,wild_type,4,12,16,207
3,SD-Mad,0,0,5,7,2,Both parents,1,1,Yes,Yes,SD-Mad,SD-Mad,0,12,12,208
3,SD-Mad,6,12,0,0,2,Both parents,1,1,Yes,Yes,SD-Mad,SD-Mad,18,0,18,209
3,SD-Mad,0,0,1,5,2,Both parents,1,1,Yes,Yes,SD-Mad,SD-Mad,0,6,6,210
3,SD-Mad,0,2,6,5,2,Both parents,1,1,Yes,Yes,SD-Mad,SD-Mad,2,11,13,211
3,SD-Mad,55,59,13,10,1,Both parents,1,1,Yes,Yes,SD-Mad,SD-Mad,114,23,137,212
3,SD-Mad,60,53,0,2,1,Both parents,1,1,Yes,Yes,SD-Mad,SD-Mad,113,2,115,213
3,SD-Mad,41,38,9,12,1,Both parents,1,1,Yes,Yes,SD-Mad,SD-Mad,79,21,100,214
3,SD-Mad,24,21,5,1,0,Both parents,1,1,No,No,SD-Mad,SD-Mad,45,6,51,215
3,SD-Mad,23,29,1,1,0,Both parents,1,1,No,No,SD-Mad,SD-Mad,52,2,54,216
3,SD-Mad,12,18,12,8,0,Both parents,1,1,No,No,SD-Mad,SD-Mad,30,20,50,217
3,SD-Mad,30,32,9,6,1,Father,0,1,No,Yes,wild_type,SD-Mad,62,15,77,218
3,SD-Mad,9,12,7,7,1,Father,0,1,No,Yes,wild_type,SD-Mad,21,14,35,219
3,SD-Mad,36,38,12,6,1,Father,0,1,No,Yes,wild_type,SD-Mad,74,18,92,220
3,SD-Mad,28,36,0,0,0,Father,0,1,No,No,wild_type,SD-Mad,64,0,64,221
3,SD-Mad,34,52,10,6,0,Father,0,1,No,No,wild_type,SD-Mad,86,16,102,222
3,SD-Mad,8,0,6,10,0,Father,0,1,No,No,wild_type,SD-Mad,8,16,24,223
3,SD-72,26,17,24,10,1,Mother,1,0,Yes,No,SD-72,wild_type,43,34,77,224
3,SD-72,30,56,1,3,0,Mother,1,0,No,No,SD-72,wild_type,86,4,90,225
3,SD-72,16,5,4,2,1,Both parents,1,1,Yes,Yes,SD-72,SD-72,21,6,27,226
3,SD-72,2,3,0,2,1,Both parents,1,1,Yes,Yes,SD-72,SD-72,5,2,7,227
3,SD-72,4,3,2,3,1,Both parents,1,1,Yes,Yes,SD-72,SD-72,7,5,12,228
3,SD-72,0,0,2,0,1,Both parents,1,1,Yes,Yes,SD-72,SD-72,0,2,2,229
3,SD-72,6,9,1,3,0,Both parents,1,1,No,No,SD-72,SD-72,15,4,19,230
3,SD-72,20,16,13,8,1,Father,0,1,No,Yes,wild_type,SD-72,36,21,57,231
3,SD-72,15,6,4,9,1,Father,0,1,No,Yes,wild_type,SD-72,21,13,34,232
3,SD-72,47,47,34,23,1,Father,0,1,No,Yes,wild_type,SD-72,94,57,151,233
3,SD-72,37,45,4,7,1,Father,0,1,No,Yes,wild_type,SD-72,82,11,93,234
3,SD-72,32,40,20,13,1,Father,0,1,No,Yes,wild_type,SD-72,72,33,105,235
3,SD-72,15,13,2,0,0,Father,0,1,No,No,wild_type,SD-72,28,2,30,236
3,SD-72,5,9,0,1,0,Father,0,1,No,No,wild_type,SD-72,14,1,15,237
3,SD-72,0,2,0,0,0,Father,0,1,No,No,wild_type,SD-72,2,0,2,238
3,SD-72,2,9,1,1,0,Father,0,1,No,No,wild_type,SD-72,11,2,13,239
3,SD-5,2,0,0,0,1,Mother,1,0,Yes,No,SD-5,wild_type,2,0,2,240
3,SD-5,7,5,17,20,1,Mother,1,0,Yes,No,SD-5,wild_type,12,37,49,241
